CPB/ROE,Bilheteria,Público,Dias em exibição,Semanas em exibição,Sessões,Salas,Complexos,Grupos exibidores,Exibidores,Municípios,UFs,Máx. salas,Fontes,Última sessão registrada,Título,ClassInd,Comentários,Ano de estreia,Estreia,Distribuidora,Tipo de Bilheteria,Ocupação Média,P.M.I.
E2500150100000,48509561.7,2390443.0,119.0,,63154.0,,769.0,64.0,291.0,451.0,27.0,2498.0,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br,2026-01-14,Demon Slayer: Kimetsu no Yaiba - Castelo Infinito,18,,2025.0,2025-09-09,Sony Pictures,Real,37.85101497925705,20.29312629500055
E1800224700000,10384371.76,1809124.0,,,,,,,,,,,Database Brasil - FilmeB,,Pokémon: O Filme - Mewtwo Contra-Ataca,L,,2000.0,2000-01-01,Warner,Estimado,,5.74
E1800463100000,18139270.0,1320645.0,67.0,9.0,23556.0,692.0,574.0,58.0,232.0,359.0,27.0,1364.0,Ancine - Painel OCA,2022-08-26,Dragon Ball Super: Broly,10,,2018.0,2019-01-03,Fox,Real,56.064060112073356,13.735159713624782
E1800224800000,6797887.74,1184301.0,,,,,,,,,,,Database Brasil - FilmeB,,Pokémon: O Filme 2000 - O Poder De Um,L,,2000.0,2000-01-07,Warner,Estimado,,5.74
X02,3731638.2800000003,1048213.0,,,,,,,,,,,Database Brasil - FilmeB // Jbox,,Os Cavaleiros Do Zodíaco - O Filme,,,1995.0,1995-07-14,,Estimado,,3.56
E2000183600000,2510409.0,583997.0,,,,,,,,,,160.0,Database Brasil - FilmeB,,Pokémon: O Filme 3 - O Feitiço dos Unown,L,,2001.0,2001-07-06,Warner,Real,,4.298667630141936
E1500880200000,5735242.26,513524.0,,,,375.0,,,,,,375.0,Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB,,Os Cavaleiros do Zodíaco - A Lenda do Santuário,10,,2014.0,2014-09-11,Diamond Films,Real,,11.16840159369377
E2400004400000,7359686.66,445461.0,113.0,18.0,14718.0,79.0,458.0,52.0,175.0,262.0,27.0,1120.0,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),2024-10-23,O Menino e a Garça,12,,2024.0,2024-02-22,Sato Company,Real,30.266408479412963,16.52150617001264
E2400345300000,2620357.11,432207.0,,,,,,5.0,14.0,33.0,16.0,111.0,Database Brasil - FilmeB,2026-03-03,A Viagem de Chihiro,L,,2003.0,2003-07-18,Sato Company,Real,,6.062736397143035
E1600232900000,3746849.59,401306.0,,,,289.0,,2.0,2.0,2.0,2.0,289.0,Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB,2014-10-29,Dragon Ball Z: A Batalha Dos Deuses,10,,2013.0,2013-10-11,Diamond Films,Real,,9.336639845903125
E2400016700000,5430989.86,394135.0,42.0,5.0,16946.0,583.0,515.0,43.0,150.0,277.0,27.0,1156.0,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),2025-10-01,Demon Slayer: Kimetsu no Yaiba - To The Hashira Training,16,,2024.0,2024-02-22,Sony Pictures,Real,23.258291042133838,13.779516815304401
E2200354500000,6452119.95,369766.0,56.0,9.0,15635.0,504.0,551.0,51.0,173.0,305.0,27.0,1278.0,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),2022-12-28,One Piece: Film Red,12,,2022.0,2022-11-03,Diamond Films,Real,23.649888071634155,17.449197465424078
E1500387600000,4103658.0,345914.0,7.0,13.0,4751.0,341.0,322.0,35.0,107.0,163.0,27.0,574.0,Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB,2019-02-27,Dragon Ball Z: O Renascimento De Freeza,L,"Fonte ClassInd: Jornal Folha de SP - Ilustrada, pág. 59, 18 jun. 2015",2015.0,2015-06-18,Fox,Real,72.8086718585561,11.863231901570911
E2200253600000,5744467.62,342169.0,65.0,12.0,34093.0,1017.0,650.0,57.0,235.0,374.0,27.0,1772.0,Ancine - Painel OCA // Ancine - dados.gov.br,2023-12-07,Dragon Ball Super: Super Hero,12,,2021.0,2021-11-20,Sony Pictures,Real,10.036341771038042,16.788392928640526
E2200065700000,4902546.859999999,271523.0,63.0,12.0,13864.0,628.0,442.0,44.0,124.0,222.0,27.0,993.0,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),2025-11-24,Jujutsu Kaisen 0,14,,2022.0,2022-04-28,Sony Pictures,Real,19.584751875360645,18.055733252799946
X08,1521905.0,254447.0,,,,,,,,,,102.0,Database Brasil - FilmeB,,Yu-Gi-Oh! O Filme,,,2004.0,2004-03-09,Warner,Real,,5.98122595275244
X10,1530960.0,253426.0,,,,,,,,,,150.0,Database Brasil - FilmeB,,"Pokémon 4: Viajantes do Tempo - Celebi, A Voz da Floresta",,,2005.0,2005-07-08,Europa Filmes,Real,,6.041053404149535
X01,,250000.0,,,,,,,,,,,JBox,,Akira,14,"Fonte Estreia: https://x.com/MossmannMatheus/status/1523738636818477057 // Fonte Bilheteria: Entrevista com Nelson Sato no livro 'Guia Visual Definitivo – O Fantástico Jaspion' (screenshot em https://twitter.com/arara_/status/1739786390819262936) // Fonte ClassInd: capa do DVD ""Akira - Edição Especial 20 Anos"", Focus Filmes",1991.0,1991-09-08,,Real,,
E2500357500000,4876287.32,247104.0,41.0,,20658.0,,668.0,56.0,224.0,383.0,27.0,1391.0,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br,2025-12-28,Chainsaw Man: Arco da Reze,18,,2025.0,2025-10-20,Sony Pictures,Real,11.961661341853036,19.733744981869982
E2300055900000,3170677.74,155930.0,47.0,4.0,6203.0,491.0,373.0,36.0,96.0,186.0,27.0,720.0,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),2024-03-13,Demon Slayer: Kimetsu no Yaiba - To The Swordsmith Village,16,,2023.0,2023-03-30,Cinecolor,Real,25.137836530710945,20.333981530173798
X04,786555.0,143010.0,,,,,,,,,,,Database Brasil - FilmeB // Pesquisa Própria,,Final Fantasy: The Spirits Within,,Nota: público apenas no fim de semana de estreia,2001.0,2001-02-07,Columbia Pictures,Estimado,,5.5
E2400160000000,2153185.16,116149.0,29.0,5.0,3834.0,195.0,165.0,24.0,58.0,102.0,27.0,351.0,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),2024-07-20,Haikyu!!: The Dumpster Battle,12,,2024.0,2024-05-30,Sony Pictures,Real,30.29447052686489,18.538129127241735
E2400345200000,835541.72,109761.0,,,,,,5.0,12.0,33.0,16.0,112.0,Database Brasil - FilmeB,2026-03-02,O Castelo Animado,L,,2005.0,2005-08-05,Sato Company,Real,,7.6123734295423695
E2100140400000,1499746.54,89583.0,84.0,10.0,7797.0,270.0,312.0,33.0,82.0,158.0,25.0,723.0,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),2025-11-01,Demon Slayer: Kimetsu no Yaiba - Mugen Train,14,,2021.0,2021-05-13,Cinecolor,Real,11.489419007310504,16.74141901923356
E2400015400000,1595688.33,80801.0,31.0,6.0,6922.0,522.0,355.0,27.0,73.0,155.0,27.0,652.0,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),2024-07-24,Spy x Family - Código: Branco,14,,2024.0,2024-04-25,Sony Pictures,Real,11.673071366657036,19.748373534981003
X12,533847.0,78010.0,,,,,,,,,,72.0,Database Brasil - FilmeB,,Os Cavaleiros do Zodíaco - Prólogo do Céu,,,2006.0,2006-02-11,Playarte,Real,,6.843314959620561
E1500281700000,807843.0,69071.0,,7.0,2087.0,2.0,167.0,24.0,54.0,75.0,24.0,266.0,Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB,2015-07-04,The Last Naruto: O Filme,10,,2015.0,2015-05-28,PlayArte,Real,33.09583133684715,11.695834720794545
E2400380200000,1075091.22,53078.0,27.0,4.0,9436.0,597.0,486.0,46.0,135.0,233.0,27.0,785.0,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),2025-01-01,O Senhor dos Anéis: A Guerra dos Rohirrim,14,,2024.0,2024-12-05,Warner,Real,5.625052988554472,20.254930856475376
E2500007100000,1032526.71,50247.0,33.0,,5180.0,,255.0,24.0,51.0,121.0,27.0,490.0,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br,2025-04-02,Attack on Titan: O Último Ataque,18,,2025.0,2025-02-27,Sony Pictures,Real,9.70019305019305,20.54902203116604
