CPB/ROE,Ano,Bilheteria total,Dias no ano,Sessões no ano,Máx. complexos,Máx. grupos exibidores,Máx. exibidores,Máx. municípios,Máx. UFs,Última sessão registrada,Público total,Semanas em exibição,Gênero,Países,Salas na estreia,Título,Estreia,Máx. salas,Público no ano,Bilheteria no ano,Distribuidora,Fontes
E1500054100000,2014,,,431.0,13.0,5.0,11.0,7.0,7.0,2014-06-25,20147.0,18.0,Animação,Japão,2.0,,2014-02-28,20.0,20147.0,246067.57,Califórnia,Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB
E1500054100000,2025,25550.0,6.0,37.0,34.0,2.0,12.0,31.0,16.0,2025-10-01,2027.0,,,,,VIDAS AO VENTO,2025-09-21,34.0,2027.0,25550.0,,Ancine - Painel OCA // Ancine - dados.gov.br
E1500281700000,2015,,,2087.0,167.0,24.0,54.0,75.0,24.0,2015-07-04,68638.0,7.0,Animação,Japão,2.0,,2015-05-28,266.0,69071.0,807843.0,PlayArte,Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB
E1500377100000,2015,,,232.0,16.0,7.0,14.0,9.0,8.0,2015-10-10,8632.0,12.0,Animação,Japão,8.0,,2015-07-16,24.0,8632.0,99365.52,Califórnia,Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB
E1500377100000,2016,,,1.0,1.0,0.0,1.0,1.0,1.0,2016-01-13,492.0,,,,,,2016-01-13,1.0,42.0,,,Ancine - dados.gov.br
E1500377100000,2017,,,16.0,1.0,0.0,1.0,1.0,1.0,2017-06-17,492.0,,,,,,2017-06-02,1.0,0.0,,,Ancine - dados.gov.br
E1500377100000,2026,6822.0,2.0,32.0,31.0,1.0,6.0,28.0,11.0,2026-02-24,492.0,,,,,O CONTO DA PRINCESA KAGUYA,2026-02-22,31.0,450.0,6822.0,,Ancine - Painel OCA // Ancine - dados.gov.br
E1500387600000,2015,,,4744.0,322.0,35.0,107.0,163.0,27.0,2015-10-10,345812.0,13.0,Animação,Japão,341.0,,2015-06-18,574.0,345812.0,4103059.0,Fox,Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB
E1500387600000,2019,599.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0,2019-02-27,102.0,,,,,DRAGONBALL Z: O RENASCIMENTO DE FREEZA,2019-02-14,1.0,102.0,599.0,,Ancine - Painel OCA // Ancine - dados.gov.br
E1500800700000,2015,,,56.0,11.0,6.0,7.0,6.0,6.0,2015-12-13,2387.0,4.0,Animação,Japão,6.0,,2015-11-19,13.0,1663.0,24969.0,Califórnia,Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB
E1500800700000,2016,,,11.0,6.0,1.0,5.0,6.0,6.0,2016-02-11,2387.0,4.0,Animação,Japão,6.0,,2016-01-09,6.0,767.0,10854.57,Califórnia,Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E1500800700000,2026,4880.9,4.0,38.0,38.0,4.0,13.0,35.0,12.0,2026-02-26,451.0,,,,,AS MEMÓRIAS DE MARNIE,2026-02-19,38.0,326.0,4880.9,,Ancine - Painel OCA // Ancine - dados.gov.br
E1500880200000,2014,,,,,,,,,,,7.0,Animação,Japão,375.0,,2014-09-11,375.0,513416.0,5734790.0,,Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB
E1500880200000,2015,,,,,,,,,,,1.0,Animação,Japão,375.0,,2014-09-11,1.0,100.0,332.26,,Ancine - Listagem de Filmes (2009-2024)
E1500880200000,2023,120.0,4.0,4.0,1.0,,,,,,8.0,,,,,SAINT SEYA - LEGENDS OF SANCTUARY,,1.0,8.0,120.0,,Ancine - Painel OCA
E1600232900000,2013,,,,,,,,,,,11.0,Animação,Japão,289.0,,2013-10-11,289.0,400987.0,3745760.0,,Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB
E1600232900000,2014,,,23.0,2.0,2.0,2.0,2.0,2.0,2014-10-29,319.0,2.0,Animação,Japão,289.0,,2014-01-01,3.0,319.0,1089.59,Diamond Films,Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E1600584200000,2010,,,,,,,,,,,21.0,Animação,Japão,30.0,,2010-07-30,42.0,37036.0,294874.72000000003,,Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB
