Ano,Bilheteria,Público,Sessões,Estreias
2026,265555.6,15338.0,1053.0,3
2025,56529494.5,2775782.0,96970.0,16
2024,18715518.12,1151367.0,57709.0,11
2023,4848958.84,235443.0,16794.0,5
2022,17890905.4,1010855.0,68156.0,6
2021,1470040.23,87497.0,7890.0,3
2020,38950.0,2469.0,415.0,1
2019,18542555.0,1324326.0,23104.0,2
2018,35741.0,2453.0,563.0,1
2017,890339.91,56432.0,1349.0,3
2016,10854.57,809.0,12.0,0
2015,5035568.78,417973.0,6950.0,4
2014,5982355.16,533989.0,466.0,2
2013,3745760.0,400987.0,0.0,1
2012,3491.0,710.0,0.0,0
2011,104153.07,16100.0,0.0,0
2010,456867.09,58023.0,0.0,2
2006,533847.0,78010.0,0.0,1
2005,2222008.5,354163.0,0.0,2
2004,1521905.0,254447.0,0.0,1
2003,2470442.6,424701.0,0.0,2
2001,2510409.0,727007.0,0.0,2
2000,17182259.5,2993425.0,0.0,2
1995,3731638.2800000003,1048213.0,0.0,1
1991,0.0,250000.0,0.0,1
